[11:31:05] [INFO] received Windows console close event; shutting log-core down
[11:39:08] [INFO] received Windows console close event; shutting log-core down
[11:40:44] [INFO] received Windows console close event; shutting log-core down
[11:49:14] [INFO] received Windows console close event; shutting log-core down
[11:51:38] [INFO] received Windows console close event; shutting log-core down
[11:54:52] [INFO] received Windows console close event; shutting log-core down
[13:34:27] [INFO] received Windows console close event; shutting log-core down
[13:52:35] [INFO] received Windows console close event; shutting log-core down
[13:55:06] [INFO] received Windows console close event; shutting log-core down
[10:28:57] [INFO] received Windows console close event; shutting log-core down
[10:32:13] [INFO] received Windows console close event; shutting log-core down
